,coef,SE,t,p-value
name[T.CDC5],-1.2351832745635324e-12,3.1078101716535696e-09,-0.00039744489088480256,0.9997189640336057
name[T.CDF2],1.1545930335941923e-11,3.068572157642813e-09,0.0037626393458549683,0.9973394216201246
name[T.CDF3],-1.4292636390004446e-11,3.93919248801648e-09,-0.0036283163195209296,0.9974344013699838
name[T.CEJ1],5.999999999949169,9.84627134282406e-09,609367728.2540009,2.693029426615583e-18
name[T.CMTA2],7.9999999999864295,4.908070615709988e-09,1629968398.2499447,3.763930807637117e-19
name[T.CMTA3],-5.7900571002241635e-12,3.0723101758486445e-09,-0.0018845939273123076,0.998667392037468
name[T.COG1],0.9999999999957176,3.297572846491118e-09,303253346.18757486,1.0873986678008667e-17
name[T.CRF2],-7.53878427715046e-12,3.0914545889571338e-09,-0.002438588069214881,0.9982756604032733
name[T.CRF4],10.999999999951067,1.457801082960899e-08,754561107.7204906,1.75635041115775e-18
name[T.DAG2],-1.2142195343796403e-12,3.1070608139311195e-09,-0.0003907936172138787,0.999723667193774
name[T.DEAR3],-1.2318578774227207e-12,3.10781017165357e-09,-0.0003963748779312628,0.9997197206469317
name[T.DEAR5],-1.2097485285657988e-12,3.107810171653571e-09,-0.00038926075331110994,0.9997247510921106
name[T.DOF1.8],7.999999999896274,1.74964952845999e-08,457234427.22484714,4.78323980081195e-18
name[T.DOF2.4],-9.286294691248026e-13,3.0742959442623204e-09,-0.0003020624838860879,0.9997864095741742
name[T.DOF2.5],8.9999999999245,1.5765035920748117e-08,570883570.780815,3.0683500936623257e-18
name[T.DOF5.3],7.715915065079418e-12,3.0865028565490285e-09,0.002499889170265167,0.9982323141772527
name[T.DOF5.6],3.561781251204153e-12,3.4090280352774374e-09,0.001044808436406503,0.9992612090711966
name[T.DOF5.7],2.339187039055758e-11,3.0823515394635676e-09,0.007588969035838317,0.9946338657941931
name[T.DRE1C],65.9999999993877,1.022830490287468e-07,645268210.3838956,2.4017038840245945e-18
name[T.DREB19],-4.5139652649420214e-12,3.100628793385706e-09,-0.0014558225333426754,0.998970578559913
name[T.DREB1A],5.380503171909662e-12,3.087821057026639e-09,0.0017424918972120489,0.9987678730985883
name[T.DREB1E],4.0642791324270455e-12,3.0953851363898735e-09,0.001313012421183616,0.9990715604133567
name[T.DREB1G],1.0724634613538953e-11,3.1074346275160693e-09,0.0034512824561370417,0.9975595820386329
name[T.DREB2],-1.2046158883761982e-12,3.10781017165357e-09,-0.00038760922380766237,0.9997259188996896
name[T.DREB26],-1.2286842008234211e-12,3.10781017165357e-09,-0.00039535368409251206,0.9997204427399351
name[T.DREB2C],65.99999999939504,1.0252958698123964e-07,643716627.97658,2.413295731573989e-18
name[T.DYT1],1.0724840937212377e-11,3.1074346275160693e-09,0.0034513488529235086,0.9975595350894344
name[T.Dof2],-3.7937494152959694e-11,3.1074346275254868e-09,-0.012208621805559943,0.9913675223950138
name[T.Dof3],1.6963260952021974e-11,3.1078101713130834e-09,0.005458268046292806,0.9961404503974167
name[T.E2FA],-1.9829703471700016e-12,3.072055128884399e-09,-0.0006454865762419137,0.9995435721123175
name[T.EDT1],-4.734228417277442e-13,3.0771780531841426e-09,-0.00015384967445672014,0.999891211852552
name[T.EPR1],-1.2119101837522461e-12,3.1070608139311187e-09,-0.0003900503583059618,0.9997241927571279
name[T.ERF008],1.4623349569014427e-11,3.068169330202477e-09,0.004766148147387091,0.9966298434640493
name[T.ERF018],0.9999999999896622,5.009573526810264e-09,199617790.74363446,2.5095826921037093e-17
name[T.ERF039],-1.0266210977031079e-11,3.1403554050593963e-09,-0.003269123921608136,0.9976883864826358
name[T.ERF043],-6.766508902668333e-12,3.0708873899544435e-09,-0.002203437652843634,0.9984419361849048
